Site,Population,Latitude,Longitude,Elevation,Image_Number
Latir,SL2,36.79593,-105.48266,12371,2756
Latir,SL2,36.79593,-105.48266,12371,2757
Latir,SL2,36.79593,-105.48266,12371,2758
Latir,SL2,36.79593,-105.48266,12371,2759
Latir,SL2,36.79593,-105.48266,12371,2760
Latir,SL2,36.79593,-105.48266,12371,2761
Latir,Swale VP,36.79365,-105.48698,12447,2762
Latir,Swale VP,36.79365,-105.48698,12447,2763
Latir,Swale VP,36.79365,-105.48698,12447,2764
Latir,Swale VP,36.79365,-105.48698,12447,2765
Latir,Swale VP,36.79365,-105.48698,12447,2766
Latir,Swale VP,36.79365,-105.48698,12447,2767
Latir,Swale VP,36.79365,-105.48698,12447,2768
Latir,Swale VP,36.79365,-105.48698,12447,2769
Latir,Swale VP,36.79365,-105.48698,12447,2770
Latir,Swale VP,36.79365,-105.48698,12447,2771
Latir,Swale VP,36.79365,-105.48698,12447,2772
Latir,Swale VP,36.79365,-105.48698,12447,2773
Latir,Swale VP,36.79365,-105.48698,12447,2774
Latir,Swale VP,36.79365,-105.48698,12447,2775
Latir,Swale VP,36.79365,-105.48698,12447,2776
Latir,Swale VP,36.79365,-105.48698,12447,2777
Latir,Swale VP,36.79365,-105.48698,12447,2778
Latir,Swale VP,36.79365,-105.48698,12447,2779
Latir,Swale VP,36.79365,-105.48698,12447,2780
Latir,Swale VP,36.79365,-105.48698,12447,2781
Latir,Swale VP,36.79365,-105.48698,12447,2782
Latir,Verado Peak,36.7938,-105.48702,12714,2784
Latir,Verado Peak,36.7938,-105.48702,12714,2785
Latir,Verado Peak,36.7938,-105.48702,12714,2786
Latir,Verado Peak,36.7938,-105.48702,12714,2787
Latir,Verado Peak,36.7938,-105.48702,12714,2788
Latir,Verado Peak,36.7938,-105.48702,12714,2789
Latir,Verado Peak,36.7938,-105.48702,12714,2790
Latir,Verado Peak,36.7938,-105.48702,12714,2791
Latir,Verado Peak,36.7938,-105.48702,12714,2792
Latir,Verado Peak,36.7938,-105.48702,12714,2793
Latir,Verado Peak,36.7938,-105.48702,12714,2794
Latir,Verado Peak,36.7938,-105.48702,12714,2795
Latir,Verado Peak,36.7938,-105.48702,12714,2796
Latir,Verado Peak,36.7938,-105.48702,12714,2797
Latir,Verado Peak,36.7938,-105.48702,12714,2798
Latir,Verado Peak,36.7938,-105.48702,12714,2799
Latir,Verado Peak,36.7938,-105.48702,12714,2800
Latir,Verado Peak,36.7938,-105.48702,12714,2801
Latir,Verado Peak,36.7938,-105.48702,12714,2802
Latir,Verado Peak,36.7938,-105.48702,12714,2803
Latir,Verado Peak,36.7938,-105.48702,12714,2804
Latir,Latir Mesa,36.79783,-105.47854,12697,2805
Latir,Latir Mesa,36.79783,-105.47854,12697,2806
Latir,Latir Mesa,36.79783,-105.47854,12697,2807
Latir,Latir Mesa,36.79783,-105.47854,12697,2808
Latir,Latir Mesa,36.79783,-105.47854,12697,2809
Latir,Latir Mesa,36.79783,-105.47854,12697,2810
Latir,Latir Mesa,36.79783,-105.47854,12697,2811
Latir,Latir Mesa,36.79783,-105.47854,12697,2812
Latir,Latir Mesa,36.79783,-105.47854,12697,2813
Latir,Latir Mesa,36.79783,-105.47854,12697,2814
Latir,Latir Mesa,36.79783,-105.47854,12697,2815
Latir,Latir Mesa,36.79783,-105.47854,12697,2816
Latir,Latir Mesa,36.79783,-105.47854,12697,2817
Latir,Latir Mesa,36.79783,-105.47854,12697,2818
Latir,Latir Mesa,36.79783,-105.47854,12697,2819
Latir,Latir Mesa,36.79783,-105.47854,12697,2820
Latir,Latir Mesa,36.79783,-105.47854,12697,2821
Latir,Latir Mesa,36.79783,-105.47854,12697,2822
Latir,Latir Mesa,36.79783,-105.47854,12697,2823
Latir,Latir Mesa,36.79783,-105.47854,12697,2824
Latir,Latir Mesa,36.79783,-105.47854,12697,2825
Latir,HL Rim,36.78744,-105.4637,12188,2826
Latir,HL Rim,36.78744,-105.4637,12188,2827
Latir,HL Rim,36.78744,-105.4637,12188,2828
Latir,HL Rim,36.78744,-105.4637,12188,2829
Latir,HL Rim,36.78744,-105.4637,12188,2830
Latir,HL Rim,36.78744,-105.4637,12188,2831
Latir,HL Rim,36.78744,-105.4637,12188,2832
Latir,HL Rim,36.78744,-105.4637,12188,2833
Latir,HL Rim,36.78744,-105.4637,12188,2834
Latir,HL Rim,36.78744,-105.4637,12188,2835
Latir,HL Rim,36.78744,-105.4637,12188,2836
Latir,HL Rim,36.78744,-105.4637,12188,2837
Latir,HL Rim,36.78744,-105.4637,12188,2838
Latir,HL Rim,36.78744,-105.4637,12188,2839
Latir,HL Rim,36.78744,-105.4637,12188,2840
Latir,HL Rim,36.78744,-105.4637,12188,2841
Latir,HL Rim,36.78744,-105.4637,12188,2842
Latir,HL Rim,36.78744,-105.4637,12188,2843
Latir,HL Rim,36.78744,-105.4637,12188,2844
Latir,HL Rim,36.78744,-105.4637,12188,2845
Latir,HL Rim,36.78744,-105.4637,12188,2846
Latir,SL1,36.78599,-105.46623,12259,2847
Latir,SL1,36.78599,-105.46623,12259,2848
Latir,SL1,36.78599,-105.46623,12259,2849
Latir,SL1,36.78599,-105.46623,12259,2850
Latir,SL1,36.78599,-105.46623,12259,2851
Latir,SL1,36.78599,-105.46623,12259,2852
Latir,SL1,36.78599,-105.46623,12259,2853
Latir,SL1,36.78599,-105.46623,12259,2854
Latir,SL1,36.78599,-105.46623,12259,2855
Latir,SL1,36.78599,-105.46623,12259,2856
Latir,SL1,36.78599,-105.46623,12259,2857
Latir,SL1,36.78599,-105.46623,12259,2858
Latir,SL1,36.78599,-105.46623,12259,2859
Latir,SL1,36.78599,-105.46623,12259,2860
Latir,SL1,36.78599,-105.46623,12259,2861
Latir,SL1,36.78599,-105.46623,12259,2862
Latir,SL1,36.78599,-105.46623,12259,2863
Latir,SL1,36.78599,-105.46623,12259,2864
Latir,SL1,36.78599,-105.46623,12259,2865
Latir,SL1,36.78599,-105.46623,12259,2866
Latir,SL1,36.78599,-105.46623,12259,2867
Niwot,West Knoll,40.05653,-105.59629,11883,2868
Niwot,West Knoll,40.05653,-105.59629,11883,2869
Niwot,West Knoll,40.05653,-105.59629,11883,2870
Niwot,West Knoll,40.05653,-105.59629,11883,2871
Niwot,West Knoll,40.05653,-105.59629,11883,2872
Niwot,West Knoll,40.05653,-105.59629,11883,2873
Niwot,West Knoll,40.05653,-105.59629,11883,2874
Niwot,West Knoll,40.05653,-105.59629,11883,2875
Niwot,West Knoll,40.05653,-105.59629,11883,2876
Niwot,West Knoll,40.05653,-105.59629,11883,2877
Niwot,West Knoll,40.05653,-105.59629,11883,2878
Niwot,West Knoll,40.05653,-105.59629,11883,2879
Niwot,West Knoll,40.05653,-105.59629,11883,2880
Niwot,West Knoll,40.05653,-105.59629,11883,2881
Niwot,West Knoll,40.05653,-105.59629,11883,2882
Niwot,West Knoll,40.05653,-105.59629,11883,2883
Niwot,West Knoll,40.05653,-105.59629,11883,2884
Niwot,West Knoll,40.05653,-105.59629,11883,2885
Niwot,West Knoll,40.05653,-105.59629,11883,2886
Niwot,West Knoll,40.05653,-105.59629,11883,2887
Niwot,West Knoll,40.05653,-105.59629,11883,2888
Niwot,SN3,40.0551,-105.5973,11802,2889
Niwot,SN3,40.0551,-105.5973,11802,2890
Niwot,SN3,40.0551,-105.5973,11802,2891
Niwot,SN3,40.0551,-105.5973,11802,2892
Niwot,SN3,40.0551,-105.5973,11802,2893
Niwot,SN3,40.0551,-105.5973,11802,2894
Niwot,SN3,40.0551,-105.5973,11802,2895
Niwot,SN3,40.0551,-105.5973,11802,2896
Niwot,SN3,40.0551,-105.5973,11802,2897
Niwot,SN3,40.0551,-105.5973,11802,2898
Niwot,SN3,40.0551,-105.5973,11802,2899
Niwot,SN3,40.0551,-105.5973,11802,2900
Niwot,SN3,40.0551,-105.5973,11802,2901
Niwot,SN3,40.0551,-105.5973,11802,2902
Niwot,SN3,40.0551,-105.5973,11802,2903
Niwot,SN3,40.0551,-105.5973,11802,2904
Niwot,SN3,40.0551,-105.5973,11802,2905
Niwot,SN3,40.0551,-105.5973,11802,2906
Niwot,SN3,40.0551,-105.5973,11802,2907
Niwot,SN3,40.0551,-105.5973,11802,2908
Niwot,SN3,40.0551,-105.5973,11802,2909
Niwot,East Krummholz,40.04965,-105.58656,11353,2910
Niwot,East Krummholz,40.04965,-105.58656,11353,2911
Niwot,East Krummholz,40.04965,-105.58656,11353,2912
Niwot,East Krummholz,40.04965,-105.58656,11353,2913
Niwot,East Krummholz,40.04965,-105.58656,11353,2914
Niwot,East Krummholz,40.04965,-105.58656,11353,2915
Niwot,East Krummholz,40.04965,-105.58656,11353,2916
Niwot,East Krummholz,40.04965,-105.58656,11353,2917
Niwot,East Krummholz,40.04965,-105.58656,11353,2918
Niwot,East Krummholz,40.04965,-105.58656,11353,2919
Niwot,East Krummholz,40.04965,-105.58656,11353,2920
